Drugname	NCIDS:Phase:Status:Literature
nintedanib	NCT01594125:Phase 1:Completed:No publish;;NCT01594125:Phase 1:Completed:No publish;;NCT01594125:Phase 1:Completed:No publish
immu-132	NCT01631552:Phase 1|Phase 2:Active, not recruiting:No publish
bevacizumab,	NCT01632722:Phase 2:Completed:No publish
romidepsin	NCT01638533:Phase 1:Recruiting:No publish
xenetix-ct	NCT01639703:Phase 4:Completed:No publish
nik-333(peretinoin)	NCT01640808:Phase 3:Unknown status:No publish
letrozole	NCT01642186:Phase 2:Active, not recruiting:No publish
combination	NCT01642186:Phase 2:Active, not recruiting:No publish
tranexamic	NCT01655641:Phase 2|Phase 3:Unknown status:Mannucci PM, Levi M. Prevention and treatment of major blood loss. N Engl J Med. 2007 May 31;356(22):2301-11. Review.
ipilimumab	NCT01658878:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT03203304:Phase 1:Recruiting:No publish;;NCT03222076:Phase 2:Recruiting:No publish
cabozantinib	NCT01658878:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT03299946:Phase 1:Recruiting:No publish;;NCT01908426:Phase 3:Active, not recruiting:No publish;;NCT02867592:Phase 2:Recruiting:No publish;;NCT03539822:Phase 1:Not yet recruiting:No publish;;NCT03586973:Phase 2:Recruiting:No publish
sta-9090	NCT01665937:Phase 1:Completed:No publish
interferon-alpha	NCT01681446:Phase 3:Recruiting:No publish
sorafenib:	NCT01687673:Phase 2:Active, not recruiting:No publish
phase	NCT01721941:Phase 1:Unknown status:No publish;;NCT01721941:Phase 1:Unknown status:No publish;;NCT01721941:Phase 1:Unknown status:No publish;;NCT01721941:Phase 1:Unknown status:No publish;;NCT03475953:Phase 1|Phase 2:Recruiting:No publish;;NCT03475953:Phase 1|Phase 2:Recruiting:No publish;;NCT03475953:Phase 1|Phase 2:Recruiting:No publish;;NCT03475953:Phase 1|Phase 2:Recruiting:No publish
mm-141	NCT01733004:Phase 1:Completed:No publish
tasquinimod	NCT01743469:Phase 2:Completed:No publish
suranix	NCT01747642:Phase 2|Phase 3:Unknown status:No publish
sgi-110	NCT01752933:Phase 2:Completed:No publish
ascorbic	NCT01754987:Phase 1|Phase 2:Completed:No publish
tivantinib	NCT01755767:Phase 3:Completed:No publish
6,8-bis(benzylthio)octanoic	NCT01766219:Phase 1|Phase 2:Active, not recruiting:No publish
huaier	NCT01770431:Phase 4:Completed:No publish
regorafenib	NCT01774344:Phase 3:Active, not recruiting:Finn RS, Merle P, Granito A, Huang YH, Bodoky G, Pracht M, Yokosuka O, Rosmorduc O, Gerolami R, Caparello C, Cabrera R, Chang C, Sun W, LeBerre MA, Baumhauer A, Meinhardt G, Bruix J. Outcomes of sequential treatment with sorafenib followed by regorafenib for HCC: Additional analyses from the phase III RESORCE trial. J Hepatol. 2018 Aug;69(2):353-358. doi: 10.1016/j.jhep.2018.04.010. Epub 2018 Apr 26.
g-202	NCT01777594:Phase 2:Completed:No publish
chlorhexidine	NCT01782573:Phase 4:Completed:No publish
meglumine	NCT01806740:Phase 4:Active, not recruiting:No publish
mct/lct	NCT01819961:Phase 4:Unknown status:No publish;;NCT01819961:Phase 4:Unknown status:No publish
cisplatin、fluorouracil	NCT01834963:Phase 2:Recruiting:No publish
tivozanib	NCT01835223:Phase 1|Phase 2:Active, not recruiting:No publish
l-ohp	NCT01836653:Phase 2:Completed:No publish
l-lv	NCT01836653:Phase 2:Completed:No publish
azd9150	NCT01839604:Phase 1:Completed:No publish
hia	NCT01839877:Phase 2:Active, not recruiting:No publish
tremelimumab	NCT01853618:Phase 1:Active, not recruiting:No publish;;NCT02754856:Phase 1:Recruiting:No publish;;NCT03298451:Phase 3:Recruiting:No publish;;NCT03298451:Phase 3:Recruiting:No publish
lipiodol	NCT01877187:Phase 2:Active, not recruiting:No publish;;NCT01959061:Phase 4:Recruiting:No publish;;NCT02638857:Phase 1|Phase 2:Unknown status:No publish;;NCT02755311:Phase 3:Unknown status:No publish;;NCT02631499:Phase 4:Not yet recruiting:No publish
onartuzumab	NCT01897038:Phase 1:Completed:No publish
immuncell-lc	NCT01897610:Phase 2:Completed:No publish
ixazomib	NCT01912222:Phase 1:Completed:No publish
refametinib	NCT01915589:Phase 2:Completed:No publish;;NCT01915602:Phase 2:Completed:No publish
urea-based	NCT01934829:Phase 2:Completed:Bosch FX, Ribes J, Cléries R, Díaz M. Epidemiology of hepatocellular carcinoma. Clin Liver Dis. 2005 May;9(2):191-211, v. Review.
colchicine	NCT01935700:Phase 2:Recruiting:No publish
aspirin	NCT01936233:Phase 3:Unknown status:No publish
neratinib	NCT01953926:Phase 2:Recruiting:No publish
fulvestrant	NCT01953926:Phase 2:Recruiting:No publish
raltitrexed	NCT01959061:Phase 4:Recruiting:No publish;;NCT01348412:Phase 2:Completed:No publish
oxaliplatin;capecitabine	NCT01962376:Phase 4:Unknown status:No publish
oxaliplatin;capecitabine;bevacizumab	NCT01962376:Phase 4:Unknown status:No publish
ethiodized	NCT01966133:Phase 3:Active, not recruiting:No publish
aldesleukin	NCT01967823:Phase 2:Recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish
fludarabine	NCT01967823:Phase 2:Recruiting:No publish;;NCT03084380:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish;;NCT02905188:Phase 1:Not yet recruiting:No publish
5-fu	NCT01972503:Phase 4:Unknown status:No publish;;NCT01384994:Phase 2:Unknown status:No publish;;NCT00557557:Phase 1:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT01836653:Phase 2:Completed:No publish;;NCT00803647:Phase 2:Completed:No publish;;NCT01695772:Phase 4:Completed:No publish;;NCT01802645:Phase 2:Recruiting:No publish
hcq	NCT02013778:Phase 1|Phase 2:Recruiting:No publish
capecitabine	NCT02013830:Phase 2:Completed:No publish;;NCT00483405:Phase 2:Completed:Sanoff HK, Bernard S, Goldberg RM, Morse MA, Garcia R, Woods L, Moore DT, O'Neil BH. Phase II Study of Capecitabine, Oxaliplatin, and Cetuximab for Advanced Hepatocellular Carcinoma. Gastrointest Cancer Res. 2011 May;4(3):78-83.;;NCT00076609:Phase 1|Phase 2:Completed:No publish;;NCT00363584:Phase 3:Completed:No publish;;NCT02576964:Phase 2:Completed:No publish;;NCT00073905:Phase 2:Completed:Koeberle D, Saletti P, Borner M, Gerber D, Dietrich D, Caspar CB, Mingrone W, Beretta K, Strasser F, Ruhstaller T, Mora O, Herrmann R; Swiss Group for Clinical Cancer Research. Patient-reported outcomes of patients with advanced biliary tract cancers receiving gemcitabine plus capecitabine: a multicenter, phase II trial of the Swiss Group for Clinical Cancer Research. J Clin Oncol. 2008 Aug 1;26(22):3702-8. doi: 10.1200/JCO.2008.16.5704.;;NCT00486356:Phase 1:Completed:No publish;;NCT00021047:Phase 1|Phase 2:Completed:No publish;;NCT02042443:Phase 2:Completed:No publish;;NCT00997685:Phase 2:Unknown status:No publish;;NCT00156975:Phase 3:Unknown status:No publish;;NCT00003867:Phase 1:Unknown status:Goel S, Jhawer M, Rajdev L, Hopkins U, Fehn K, Baker C, Chun HG, Makower D, Landau L, Hoffman A, Wadler S, Mani S. Phase I clinical trial of irinotecan with oral capecitabine in patients with gastrointestinal and other solid malignancies. Am J Clin Oncol. 2002 Oct;25(5):528-34.;;NCT00010023:Phase 1:Completed:Chen TT, Ryan T, Potmesil M, et al.: Cisplatin/capecitabine: tolerance and activity in patients with upper gastrointestinal cancers. [Abstract] American Society of Clinical Oncology 2004 Gastrointestinal Cancers Symposium, 22-24 January 2004, San Francisco, CA. A-53, 2004.;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT00561522:Phase 2|Phase 3:Unknown status:No publish;;NCT03578874:Phase 2:Recruiting:No publish;;NCT03114085:Phase 2:Not yet recruiting:No publish;;NCT02716766:Phase 2:Recruiting:No publish;;NCT00464295:Phase 2:Completed:No publish;;NCT01167049:Phase 2:Unknown status:No publish;;NCT01022541:Phase 2:Completed:No publish;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00026234:Phase 2:Completed:No publish
bevacizumab	NCT02013830:Phase 2:Completed:No publish;;NCT00605722:Phase 2:Completed:No publish;;NCT00467194:Phase 1:Completed:No publish;;NCT00576199:Phase 2:Completed:No publish;;NCT00242502:Phase 2:Completed:No publish;;NCT01180959:Phase 2:Active, not recruiting:No publish;;NCT00980239:Phase 1:Completed:No publish;;NCT01763450:Phase 2:Unknown status:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT00200200:Phase 2:Active, not recruiting:No publish;;NCT03434379:Phase 3:Recruiting:No publish;;NCT03382886:Phase 1:Recruiting:No publish;;NCT00287222:Phase 2:Completed:No publish;;NCT00162669:Phase 2:Unknown status:No publish;;NCT00142467:Phase 2:Completed:No publish;;NCT01836653:Phase 2:Completed:No publish;;NCT01695772:Phase 4:Completed:No publish;;NCT01022541:Phase 2:Completed:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT01802645:Phase 2:Recruiting:No publish
dalantercept	NCT02024087:Phase 1|Phase 2:Completed:No publish
zavedos®	NCT02028949:Phase 1:Completed:No publish
arq197	NCT02029157:Phase 3:Completed:No publish
dexmedetomidine	NCT02044224:Phase 4:Completed:No publish;;NCT02016391:Phase 4:Completed:No publish
omp-54f28	NCT02069145:Phase 1:Completed:No publish
18f-	NCT02074202:Phase 3:Unknown status:No publish;;NCT02074202:Phase 3:Unknown status:No publish
tacrolimus	NCT02081755:Phase 4:Recruiting:No publish
myfortic	NCT02081755:Phase 4:Recruiting:No publish
cellcept	NCT02081755:Phase 4:Recruiting:No publish
imuran	NCT02081755:Phase 4:Recruiting:No publish
ly2875358	NCT02082210:Phase 1|Phase 2:Completed:No publish
capecitabine,	NCT02086656:Phase 2:Active, not recruiting:No publish
n-acetylcysteine	NCT02094625:Phase 1:Recruiting:No publish
adi-peg	NCT02101593:Phase 1:Completed:No publish;;NCT02006030:Phase 2:Completed:No publish;;NCT02102022:Phase 1|Phase 2:Recruiting:No publish;;NCT02029690:Phase 1:Active, not recruiting:No publish;;NCT01287585:Phase 3:Completed:No publish;;NCT00056992:Phase 2:Completed:No publish
dummy	NCT02112656:Phase 3:Recruiting:No publish
msc2156119j	NCT02115373:Phase 1|Phase 2:Completed:No publish;;NCT01988493:Phase 1|Phase 2:Active, not recruiting:No publish
s-1	NCT02129322:Phase 2:Not yet recruiting:No publish;;NCT01533324:Phase 2:Unknown status:No publish;;NCT01997957:Phase 4:Unknown status:No publish;;NCT02634502:Phase 2:Recruiting:No publish
delayed	NCT02145559:Phase 1:Active, not recruiting:No publish
sirolimus	NCT02145559:Phase 1:Active, not recruiting:No publish;;NCT00328770:Phase 2|Phase 3:Completed:No publish;;NCT01522820:Phase 1:Completed:No publish;;NCT01374750:Phase 2:Completed:No publish;;NCT00355862:Phase 3:Completed:No publish;;NCT00554125:Phase 3:Unknown status:No publish
lde225	NCT02151864:Phase 1:Active, not recruiting:No publish
folfoxiri	NCT02162563:Phase 3:Recruiting:No publish;;NCT02063529:Phase 2:Recruiting:No publish;;NCT02063529:Phase 2:Recruiting:No publish;;NCT02350530:Phase 2:Recruiting:No publish;;NCT02350530:Phase 2:Recruiting:No publish;;NCT03487939:Phase 2:Not yet recruiting:No publish;;NCT03401294:Phase 2:Not yet recruiting:No publish
folfox/	NCT02162563:Phase 3:Recruiting:No publish;;NCT02162563:Phase 3:Recruiting:No publish
vitamin	NCT02172651:Early Phase 1:Recruiting:No publish;;NCT02779465:Phase 4:Not yet recruiting:Liaw YF, Sung JJ, Chow WC, Farrell G, Lee CZ, Yuen H, Tanwandee T, Tao QM, Shue K, Keene ON, Dixon JS, Gray DF, Sabbat J; Cirrhosis Asian Lamivudine Multicentre Study Group. Lamivudine for patients with chronic hepatitis B and advanced liver disease. N Engl J Med. 2004 Oct 7;351(15):1521-31.
tirapazamine	NCT02174549:Phase 1|Phase 2:Recruiting:No publish;;NCT03145558:Phase 2:Recruiting:No publish
sevoflurane	NCT02174575:Phase 4:Unknown status:No publish
desflurane	NCT02174575:Phase 4:Unknown status:No publish
mk-3475	NCT02178722:Phase 1|Phase 2:Active, not recruiting:No publish
incb024360	NCT02178722:Phase 1|Phase 2:Active, not recruiting:No publish
lyso-thermosensitive	NCT02181075:Phase 1:Completed:No publish;;NCT00093444:Phase 1:Completed:No publish
tkm-080301	NCT02191878:Phase 1|Phase 2:Completed:No publish;;NCT01437007:Phase 1:Completed:No publish
ganciclovir	NCT02202564:Phase 2:Completed:No publish
adv-tk	NCT02202564:Phase 2:Completed:No publish;;NCT03313596:Phase 3:Recruiting:No publish
peprostat	NCT02204930:Phase 1:Completed:No publish
donafenib(200mg)	NCT02229071:Phase 1|Phase 2:Completed:No publish
donafenib(300mg)	NCT02229071:Phase 1|Phase 2:Completed:No publish
enmd-2076	NCT02234986:Phase 2:Active, not recruiting:No publish
ly2157299	NCT02240433:Phase 1:Active, not recruiting:No publish;;NCT02178358:Phase 2:Active, not recruiting:No publish;;NCT01246986:Phase 2:Active, not recruiting:No publish
oral	NCT02240771:Phase 2|Phase 3:Unknown status:No publish;;NCT01438450:Phase 2|Phase 3:Unknown status:No publish;;NCT00168987:Phase 4:Completed:No publish;;NCT02856126:Phase 3:Recruiting:No publish;;NCT02210182:Phase 1:Completed:No publish
cidan	NCT02253511:Phase 4:Unknown status:No publish
stm	NCT02262455:Phase 1:Completed:No publish
bbi503	NCT02279719:Phase 1|Phase 2:Recruiting:No publish;;NCT02354898:Phase 1:Recruiting:No publish;;NCT02232633:Phase 2:Active, not recruiting:No publish
bbi608	NCT02279719:Phase 1|Phase 2:Recruiting:No publish;;NCT02358395:Phase 1:Completed:No publish
nucleoside	NCT02281266:Phase 4:Not yet recruiting:No publish
thymalfasin	NCT02281266:Phase 4:Not yet recruiting:No publish;;NCT00082082:Phase 2:Completed:No publish
trametinib	NCT02292173:Phase 1:Recruiting:No publish;;NCT02042443:Phase 2:Completed:No publish;;NCT02070549:Phase 1:Recruiting:No publish;;NCT02465060:Phase 2:Recruiting:No publish
pirarubicin,mitomycin	NCT02301091:Phase 3:Recruiting:No publish
tas-102	NCT02301104:Phase 1:Completed:No publish
artesunate	NCT02304289:Phase 1:Completed:No publish
tenofovir	NCT02308319:Phase 4:Not yet recruiting:No publish
pf-04518600	NCT02315066:Phase 1:Recruiting:No publish;;NCT02315066:Phase 1:Recruiting:No publish
decitabine	NCT02316028:Phase 1|Phase 2:Completed:No publish
omega-3	NCT02321202:Phase 4:Completed:No publish
structolipid	NCT02321202:Phase 4:Completed:No publish
egm	NCT02338297:Phase 3:Unknown status:No publish
pva	NCT02338297:Phase 3:Unknown status:No publish
herceptin	NCT02380131:Phase 4:Unknown status:No publish
rsifn-co	NCT02387307:Phase 1:Unknown status:No publish
xihuang	NCT02399033:Phase 4:Recruiting:No publish
resminostat	NCT02400788:Phase 1|Phase 2:Completed:No publish
jnj-42756493	NCT02421185:Phase 1:Recruiting:No publish
dexanabinol	NCT02423239:Phase 1:Unknown status:No publish
galunisertib	NCT02423343:Phase 1|Phase 2:Recruiting:No publish
5-fluorouracil/leucovorin	NCT02426450:Phase 2:Unknown status:No publish
ramucirumab	NCT02435433:Phase 3:Recruiting:No publish;;NCT02082210:Phase 1|Phase 2:Completed:No publish;;NCT02572687:Phase 1:Active, not recruiting:No publish;;NCT01246986:Phase 2:Active, not recruiting:No publish
thalidomine	NCT02447679:Phase 2:Completed:No publish
tegafur-uracil	NCT02447679:Phase 2:Completed:No publish
raltitrexed-based	NCT02453490:Phase 3:Recruiting:No publish
5-fluorouracil-based	NCT02453490:Phase 3:Recruiting:No publish
adavosertib	NCT02465060:Phase 2:Recruiting:No publish
afatinib	NCT02465060:Phase 2:Recruiting:No publish
binimetinib	NCT02465060:Phase 2:Recruiting:No publish
capivasertib	NCT02465060:Phase 2:Recruiting:No publish
crizotinib	NCT02465060:Phase 2:Recruiting:No publish
dabrafenib	NCT02465060:Phase 2:Recruiting:No publish
defactinib	NCT02465060:Phase 2:Recruiting:No publish
fgfr	NCT02465060:Phase 2:Recruiting:No publish
larotrectinib	NCT02465060:Phase 2:Recruiting:No publish
osimertinib	NCT02465060:Phase 2:Recruiting:No publish
palbociclib	NCT02465060:Phase 2:Recruiting:No publish
pi3k-beta	NCT02465060:Phase 2:Recruiting:No publish
sapanisertib	NCT02465060:Phase 2:Recruiting:No publish
taselisib	NCT02465060:Phase 2:Recruiting:No publish
vismodegib	NCT02465060:Phase 2:Recruiting:No publish;;NCT01546519:Phase 1:Completed:No publish
in111-pentetréotide	NCT02465112:Phase 3:Recruiting:No publish
[18f]	NCT02471313:Phase 2:Completed:No publish
lv5fu2	NCT02494973:Phase 2|Phase 3:Recruiting:No publish
blu-554	NCT02508467:Phase 1:Recruiting:No publish
tae	NCT02509169:Phase 2:Unknown status:No publish
talimogene	NCT02509507:Phase 1:Recruiting:No publish
lee011	NCT02524119:Phase 2:Recruiting:No publish
liposomal	NCT02527772:Phase 2|Phase 3:Active, not recruiting:Lombardi G, Zustovich F, Farinati F, Cillo U, Vitale A, Zanus G, Donach M, Farina M, Zovato S, Pastorelli D. Pegylated liposomal doxorubicin and gemcitabine in patients with advanced hepatocellular carcinoma: results of a phase 2 study. Cancer. 2011 Jan 1;117(1):125-33. doi: 10.1002/cncr.25578. Epub 2010 Aug 31.|Qin S, Bai Y, Lim HY, Thongprasert S, Chao Y, Fan J, Yang TS, Bhudhisawasdi V, Kang WK, Zhou Y, Lee JH, Sun Y. Randomized, multicenter, open-label study of oxaliplatin plus fluorouracil/leucovorin versus doxorubicin as palliative chemotherapy in patients with advanced hepatocellular carcinoma from Asia. J Clin Oncol. 2013 Oct 1;31(28):3501-8. doi: 10.1200/JCO.2012.44.5643. Epub 2013 Aug 26.;;NCT02262455:Phase 1:Completed:No publish;;NCT00507962:Phase 1:Completed:No publish
oxy111a	NCT02528526:Phase 1|Phase 2:Unknown status:No publish
gemox	NCT02534337:Phase 2|Phase 3:Unknown status:No publish
cefazolin	NCT02534961:Phase 4:Unknown status:No publish
oxaliplatin	NCT02557503:Phase 4:Unknown status:No publish;;NCT00941967:Phase 2:Unknown status:No publish;;NCT00483405:Phase 2:Completed:Sanoff HK, Bernard S, Goldberg RM, Morse MA, Garcia R, Woods L, Moore DT, O'Neil BH. Phase II Study of Capecitabine, Oxaliplatin, and Cetuximab for Advanced Hepatocellular Carcinoma. Gastrointest Cancer Res. 2011 May;4(3):78-83.;;NCT00471484:Phase 2:Unknown status:Ang MK, Poon D, Foo KF, Chung YF, Chow P, Wan WK, Thng CH, Ooi L. A new chemoimmunotherapy regimen (OXAFI) for advanced hepatocellular carcinoma. Hematol Oncol Stem Cell Ther. 2008 Jul-Sep;1(3):159-65.;;NCT00052364:Phase 2:Completed:No publish;;NCT00861783:Phase 1:Completed:Jimeno A, Chan A, Cusatis G, Zhang X, Wheelhouse J, Solomon A, Chan F, Zhao M, Cosenza SC, Ramana Reddy MV, Rudek MA, Kulesza P, Donehower RC, Reddy EP, Hidalgo M. Evaluation of the novel mitotic modulator ON 01910.Na in pancreatic cancer and preclinical development of an ex vivo predictive assay. Oncogene. 2009 Jan 29;28(4):610-8. doi: 10.1038/onc.2008.424. Epub 2008 Nov 24.;;NCT00507585:Phase 1:Completed:No publish;;NCT00980239:Phase 1:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT01775501:Phase 2:Active, not recruiting:No publish;;NCT00304135:Phase 2|Phase 3:Completed:Phelip JM, Vendrely V, Rostain F, Subtil F, Jouve JL, Gasmi M, Michel P, Le Malicot K, Smith D, Seitz JF, Fauchart JP, Martin P, Bennouna J, Morin T, Bonnet I, Maingon P, Lepage C, Chauffert B. Gemcitabine plus cisplatin versus chemoradiotherapy in locally advanced biliary tract cancer: F��d��ration Francophone de Canc��rologie Digestive 9902 phase II randomised study. Eur J Cancer. 2014 Nov;50(17):2975-82. doi: 10.1016/j.ejca.2014.08.013. Epub 2014 Sep 17.;;NCT01525069:Phase 1:Recruiting:No publish;;NCT01313377:Phase 3:Completed:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00987766:Phase 1:Completed:No publish;;NCT00003427:Phase 1:Completed:Kemeny N, Tong W, Gonen M, Stockman J, Di Lauro C, Teitcher J, White P, Price C, Saltz L, Sharma S, Graham MA. Phase I study of weekly oxaliplatin plus irinotecan in previously treated patients with metastatic colorectal cancer. Ann Oncol. 2002 Sep;13(9):1490-6.;;NCT01042691:Phase 1:Completed:No publish;;NCT02529774:Phase 2|Phase 3:Not yet recruiting:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT02557490:Phase 4:Unknown status:No publish;;NCT02380131:Phase 4:Unknown status:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT03493061:Phase 2:Recruiting:No publish;;NCT01511146:Phase 2:Unknown status:No publish;;NCT01384994:Phase 2:Unknown status:No publish;;NCT03500874:Phase 3:Recruiting:No publish;;NCT01959061:Phase 4:Recruiting:No publish;;NCT00557557:Phase 1:Completed:No publish;;NCT00101270:Phase 1:Completed:No publish;;NCT00091182:Phase 2:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT01348412:Phase 2:Completed:No publish;;NCT00156975:Phase 3:Unknown status:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT00274885:Phase 4:Unknown status:No publish;;NCT00005860:Phase 1:Completed:No publish;;NCT02129322:Phase 2:Not yet recruiting:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT03578874:Phase 2:Recruiting:No publish;;NCT02716766:Phase 2:Recruiting:No publish;;NCT02426450:Phase 2:Unknown status:No publish;;NCT00559455:Phase 2:Completed:No publish;;NCT00471965:Phase 3:Completed:No publish;;NCT00280618:Phase 2:Completed:No publish;;NCT00142467:Phase 2:Completed:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00438737:Phase 2:Unknown status:No publish;;NCT01226719:Phase 2:Completed:No publish;;NCT00803647:Phase 2:Completed:No publish;;NCT00005077:Phase 1:Completed:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT01022541:Phase 2:Completed:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00003834:Phase 2:Completed:Alberts SR, Horvath WL, Sternfeld WC, Goldberg RM, Mahoney MR, Dakhil SR, Levitt R, Rowland K, Nair S, Sargent DJ, Donohue JH. Oxaliplatin, fluorouracil, and leucovorin for patients with unresectable liver-only metastases from colorectal cancer: a North Central Cancer Treatment Group phase II study. J Clin Oncol. 2005 Dec 20;23(36):9243-9. Epub 2005 Oct 17.;;NCT00006062:Phase 1:Completed:No publish;;NCT02494973:Phase 2|Phase 3:Recruiting:No publish;;NCT02494973:Phase 2|Phase 3:Recruiting:No publish;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT01802645:Phase 2:Recruiting:No publish;;NCT00544349:Phase 2:Completed:No publish;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00026234:Phase 2:Completed:No publish;;NCT00056030:Phase 2:Completed:No publish
medi6469	NCT02559024:Phase 1:Active, not recruiting:No publish
p53	NCT02561546:Phase 2:Unknown status:No publish
trans-catheter	NCT02561546:Phase 2:Unknown status:No publish
ro7070179	NCT02564614:Phase 1:Completed:No publish
mln0128	NCT02575339:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT02575339:Phase 1|Phase 2:Active, not recruiting:No publish
peginterferon	NCT02576964:Phase 2:Completed:No publish;;NCT03253250:Phase 4:Recruiting:No publish;;NCT00834860:Phase 4:Unknown status:No publish
individualized	NCT02580253:Phase 2:Not yet recruiting:No publish
mfolfox6	NCT02580253:Phase 2:Not yet recruiting:No publish;;NCT03192644:Phase 3:Recruiting:No publish;;NCT03192618:Phase 3:Recruiting:No publish;;NCT02494973:Phase 2|Phase 3:Recruiting:No publish;;NCT02102789:Phase 3:Recruiting:No publish
systemic	NCT02584556:Phase 2|Phase 3:Unknown status:No publish
transcatheter	NCT02584556:Phase 2|Phase 3:Unknown status:No publish
s-adenosyl	NCT02586285:Phase 1:Unknown status:No publish
eadm	NCT02630108:Phase 3:Recruiting:Siegel RL, Miller KD, Jemal A. Cancer statistics, 2015. CA Cancer J Clin. 2015 Jan-Feb;65(1):5-29. doi: 10.3322/caac.21254. Epub 2015 Jan 5.
ultra-fluid	NCT02630108:Phase 3:Recruiting:Siegel RL, Miller KD, Jemal A. Cancer statistics, 2015. CA Cancer J Clin. 2015 Jan-Feb;65(1):5-29. doi: 10.3322/caac.21254. Epub 2015 Jan 5.
epirubicin(eadm)	NCT02638857:Phase 1|Phase 2:Unknown status:No publish
enzalutamide	NCT02642913:Phase 1|Phase 2:Recruiting:No publish;;NCT02642913:Phase 1|Phase 2:Recruiting:No publish;;NCT02528643:Phase 2:Active, not recruiting:No publish
donafenib	NCT02645981:Phase 2|Phase 3:Recruiting:No publish
transarterial	NCT02646137:Phase 3:Recruiting:No publish
smoked	NCT02649153:Phase 3:Recruiting:You XM, Mo XS, Ma L, Zhong JH, Qin HG, Lu Z, Xiang BD, Wu FX, Zhao XH, Tang J, Pang YH, Chen J, Li LQ. Randomized Clinical Trial Comparing Efficacy of Simo Decoction and Acupuncture or Chewing Gum Alone on Postoperative Ileus in Patients With Hepatocellular Carcinoma After Hepatectomy. Medicine (Baltimore). 2015 Nov;94(45):e1968. doi: 10.1097/MD.0000000000001968.
gum	NCT02649153:Phase 3:Recruiting:You XM, Mo XS, Ma L, Zhong JH, Qin HG, Lu Z, Xiang BD, Wu FX, Zhao XH, Tang J, Pang YH, Chen J, Li LQ. Randomized Clinical Trial Comparing Efficacy of Simo Decoction and Acupuncture or Chewing Gum Alone on Postoperative Ileus in Patients With Hepatocellular Carcinoma After Hepatectomy. Medicine (Baltimore). 2015 Nov;94(45):e1968. doi: 10.1097/MD.0000000000001968.
metatinib	NCT02650375:Phase 1:Recruiting:No publish
sitagliptin	NCT02650427:Phase 1:Recruiting:No publish
