Drugname	NCIDS:Phase:Status:Literature	Targets
placebo	NCT01164202:Phase 2|Phase 3:Completed:No publish;;NCT02029157:Phase 3:Completed:No publish;;NCT00845689:Phase 1|Phase 2:Unknown status:No publish;;NCT01640808:Phase 3:Unknown status:No publish;;NCT00575523:Phase 4:Completed:No publish;;NCT01562821:Phase 2:Completed:Shao YF, Yang JM, Chau GY, Sirivatanauksorn Y, Zhong SX, Erhardtsen E, Nivatvongs S, Lee PH. Safety and hemostatic effect of recombinant activated factor VII in cirrhotic patients undergoing partial hepatectomy: a multicenter, randomized, double-blind, placebo-controlled trial. Am J Surg. 2006 Feb;191(2):245-9.;;NCT02435433:Phase 3:Recruiting:No publish;;NCT00105443:Phase 3:Completed:Llovet JM, Ricci S, Mazzaferro V, Hilgard P, Gane E, Blanc JF, de Oliveira AC, Santoro A, Raoul JL, Forner A, Schwartz M, Porta C, Zeuzem S, Bolondi L, Greten TF, Galle PR, Seitz JF, Borbath I, Häussinger D, Giannaris T, Shan M, Moscovici M, Voliotis D, Bruix J; SHARP Investigators Study Group. Sorafenib in advanced hepatocellular carcinoma. N Engl J Med. 2008 Jul 24;359(4):378-90. doi: 10.1056/NEJMoa0708857.;;NCT00707681:Phase 2:Unknown status:No publish;;NCT00494299:Phase 3:Completed:Kudo M, Imanaka K, Chida N, Nakachi K, Tak WY, Takayama T, Yoon JH, Hori T, Kumada H, Hayashi N, Kaneko S, Tsubouchi H, Suh DJ, Furuse J, Okusaka T, Tanaka K, Matsui O, Wada M, Yamaguchi I, Ohya T, Meinhardt G, Okita K. Phase III study of sorafenib after transarterial chemoembolisation in Japanese and Korean patients with unresectable hepatocellular carcinoma. Eur J Cancer. 2011 Sep;47(14):2117-27. doi: 10.1016/j.ejca.2011.05.007.;;NCT00692770:Phase 3:Completed:Bruix J, Takayama T, Mazzaferro V, Chau GY, Yang J, Kudo M, Cai J, Poon RT, Han KH, Tak WY, Lee HC, Song T, Roayaie S, Bolondi L, Lee KS, Makuuchi M, Souza F, Berre MA, Meinhardt G, Llovet JM; STORM investigators. Adjuvant sorafenib for hepatocellular carcinoma after resection or ablation (STORM): a phase 3, randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2015 Oct;16(13):1344-54. doi: 10.1016/S1470-2045(15)00198-9. Epub 2015 Sep 8.;;NCT00538850:Phase 3:Completed:Rauck R, Reynolds L, Geach J, Bull J, Stearns L, Scherlis M, Parikh N, Dillaha L. Efficacy and safety of fentanyl sublingual spray for the treatment of breakthrough cancer pain: a randomized, double-blind, placebo-controlled study. Curr Med Res Opin. 2012 May;28(5):859-70. doi: 10.1185/03007995.2012.683111. Epub 2012 May 2.;;NCT03062358:Phase 3:Recruiting:No publish;;NCT02702401:Phase 3:Active, not recruiting:No publish;;NCT02528643:Phase 2:Active, not recruiting:No publish;;NCT02329860:Phase 3:Active, not recruiting:No publish;;NCT02178358:Phase 2:Active, not recruiting:No publish;;NCT02128958:Phase 2:Recruiting:No publish;;NCT01774344:Phase 3:Active, not recruiting:Finn RS, Merle P, Granito A, Huang YH, Bodoky G, Pracht M, Yokosuka O, Rosmorduc O, Gerolami R, Caparello C, Cabrera R, Chang C, Sun W, LeBerre MA, Baumhauer A, Meinhardt G, Bruix J. Outcomes of sequential treatment with sorafenib followed by regorafenib for HCC: Additional analyses from the phase III RESORCE trial. J Hepatol. 2018 Aug;69(2):353-358. doi: 10.1016/j.jhep.2018.04.010. Epub 2018 Apr 26.;;NCT01755767:Phase 3:Completed:No publish;;NCT01507168:Phase 2:Completed:No publish;;NCT00080236:Phase 2:Completed:No publish;;NCT01287585:Phase 3:Completed:No publish;;NCT01258608:Phase 2:Completed:No publish;;NCT00988741:Phase 2:Completed:No publish;;NCT00901901:Phase 3:Completed:No publish;;NCT01265576:Phase 2:Unknown status:No publish;;NCT00858871:Phase 3:Completed:No publish;;NCT00855218:Phase 2:Completed:No publish;;NCT00805896:Phase 2:Unknown status:No publish;;NCT00492752:Phase 3:Completed:Cheng AL, Kang YK, Chen Z, Tsao CJ, Qin S, Kim JS, Luo R, Feng J, Ye S, Yang TS, Xu J, Sun Y, Liang H, Liu J, Wang J, Tak WY, Pan H, Burock K, Zou J, Voliotis D, Guan Z. Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2009 Jan;10(1):25-34. doi: 10.1016/S1470-2045(08)70285-7. Epub 2008 Dec 16.;;NCT01070355:Phase 2:Completed:No publish	html not right
jx-594 followed by sorafenib	NCT01171651:Phase 2:Completed:No publish	html not right
cudc-101	NCT01171924:Phase 1:Completed:No publish	No target
cc-223	NCT01177397:Phase 1|Phase 2:Completed:No publish	No target
maa for diagnostic spect imaging	NCT01186263:Phase 2:Completed:No publish	html not right
diagnostic b20- spect imaging.	NCT01186263:Phase 2:Completed:No publish	html not right
sorafenib standard dosing regimen	NCT01203787:Phase 4:Completed:No publish	html not right
sorafenib ramp-up regimen	NCT01203787:Phase 4:Completed:No publish	html not right
bay86-9766 mek inhibitor + sorafenib	NCT01204177:Phase 2:Completed:No publish	html not right
[f-18] fmiso	NCT01213030:Phase 1|Phase 2:Completed:No publish	html not right
[f-18] hx4	NCT01213030:Phase 1|Phase 2:Completed:No publish	html not right
sorafenib with low-dose fp	NCT01214343:Phase 3:Unknown status:No publish	html not right
tace with sorafenib	NCT01217034:Phase 2:Active, not recruiting:No publish	html not right
dovitinib	NCT01232296:Phase 2:Completed:No publish	No target
cinobufacin injection	NCT01236690:Phase 2:Unknown status:No publish	html not right
torisel	NCT01251458:Phase 1|Phase 2:Completed:No publish	html not right
mapatumumab	NCT01258608:Phase 2:Completed:No publish	html not right
sorafenib and zoledronic acid	NCT01259193:Phase 2:Unknown status:No publish	html not right
panitumumab, oxaliplatin, 5-fu	NCT01260415:Phase 2:Completed:No publish	html not right
clevudine, adefovir	NCT01263002:Phase 4:Completed:No publish	html not right
bavituximab and sorafenib	NCT01264705:Phase 1|Phase 2:Unknown status:No publish	html not right
vt-122 (propranolol plus etodolac)	NCT01265576:Phase 2:Unknown status:No publish	html not right
ag-013736	NCT01273662:Phase 2:Completed:No publish	html not right
adi-peg 20 (arginine deiminase formulated with polyethylene glycol)	NCT01287585:Phase 3:Completed:No publish	html not right
propranolol	NCT01298284:Phase 4:Unknown status:No publish;;NCT01970748:Phase 4:Unknown status:No publish;;NCT01451658:Phase 4:Unknown status:No publish	html not right
trc 105	NCT01306058:Phase 1|Phase 2:Completed:No publish	html not right
chemotherapy ± targeted therapy	NCT01307878:Phase 4:Unknown status:No publish	html not right
sb injection	NCT01308645:Phase 2:Unknown status:No publish	html not right
ro5323441	NCT01308723:Phase 1:Completed:No publish	html not right
cetuximab; mfolfox6	NCT01322178:Phase 2:Unknown status:No publish	html not right
doxorubicin-eluting beads	NCT01324076:Phase 3:Unknown status:No publish;;NCT01004978:Phase 3:Active, not recruiting:No publish	html not right
axitinib (ag-013736)	NCT01334112:Phase 2:Active, not recruiting:No publish;;NCT03289533:Phase 1:Recruiting:No publish	html not right
paclitaxel , carboplatin, endostatin	NCT01347424:Phase 2:Unknown status:No publish	html not right
paclitaxel and carboplatin	NCT01347424:Phase 2:Unknown status:No publish	html not right
dendritic cells vaccine	NCT01348256:Phase 2:Recruiting:No publish	html not right
other intravenous chemotherapy drugs	NCT01348412:Phase 2:Completed:No publish	html not right
axitinib	NCT01352728:Phase 2:Completed:No publish	No target
pd-0332991	NCT01356628:Phase 2:Active, not recruiting:No publish	No target
pravastatin	NCT01357486:Phase 2:Completed:No publish;;NCT01418729:Phase 2:Completed:No publish	html not right
m-tor inhibitor free	NCT01374750:Phase 2:Completed:No publish	html not right
trc105	NCT01375569:Phase 2:Completed:No publish;;NCT02560779:Phase 1|Phase 2:Recruiting:No publish	html not right
11c-choline	NCT01377220:Phase 2:Unknown status:No publish	html not right
tace-deb	NCT01381211:Phase 2:Unknown status:No publish	html not right
90y-re	NCT01381211:Phase 2:Unknown status:No publish	html not right
folic acid	NCT01384994:Phase 2:Unknown status:No publish	html not right
5-fu	NCT01384994:Phase 2:Unknown status:No publish;;NCT00557557:Phase 1:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT01836653:Phase 2:Completed:No publish;;NCT00803647:Phase 2:Completed:No publish;;NCT01802645:Phase 2:Recruiting:No publish	html not right
panitumumab	NCT01384994:Phase 2:Unknown status:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT01226719:Phase 2:Completed:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT03069950:Phase 2:Recruiting:No publish	html not right
oxaliplatin, capecitabine, trastuzumab	NCT01387295:Phase 2:Unknown status:No publish;;NCT01387373:Phase 2:Unknown status:No publish	html not right
n-acetylcystein	NCT01394497:Phase 2:Completed:D'Amico F, Vitale A, Piovan D, Bertacco A, Ramirez Morales R, Chiara Frigo A, Bassi D, Bonsignore P, Gringeri E, Valmasoni M, Garbo G, Lodo E, D'Amico FE, Scopelliti M, Carraro A, Gambato M, Brolese A, Zanus G, Neri D, Cillo U. Use of N-acetylcysteine during liver procurement: a prospective randomized controlled study. Liver Transpl. 2013 Feb;19(2):135-44. doi: 10.1002/lt.23527. Epub 2012 Sep 26.	html not right
18f-fluoromethylcholine	NCT01395030:Phase 2:Active, not recruiting:No publish	html not right
opb-31121	NCT01406574:Phase 1|Phase 2:Completed:No publish	html not right
opb-31121 phase2	NCT01406574:Phase 1|Phase 2:Completed:No publish	html not right
nhs-il-12	NCT01417546:Phase 1:Recruiting:No publish	html not right
akt inhibitor mk2206	NCT01425879:Phase 2:Completed:No publish	html not right
sox	NCT01429961:Phase 2:Unknown status:No publish	html not right
oral	NCT01438450:Phase 2|Phase 3:Unknown status:No publish	html not right
folinic acid	NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT01802645:Phase 2:Recruiting:No publish	html not right
trabectedin (ecteinascidin-743, et-743, yondelis [r])	NCT01453283:Phase 1:Completed:No publish	html not right
177lu-dota-tate	NCT01456078:Phase 2:Recruiting:No publish	html not right
pasireotide	NCT01469572:Phase 1:Active, not recruiting:No publish;;NCT01488487:Phase 2:Completed:No publish	html not right
sir-sphere	NCT01482442:Phase 3:Completed:No publish	html not right
tyroserleutide for injection ,chemotherapy(mitomycin, and fluorouracil )	NCT01489566:Phase 3:Unknown status:No publish	html not right
the placebo ,chemotherapy(mitomycin, and fluorouracil )	NCT01489566:Phase 3:Unknown status:No publish	html not right
hypoxia-activated prodrug th-302	NCT01497444:Phase 1:Active, not recruiting:No publish	html not right
medi-573 (1 of 3 doses)	NCT01498952:Phase 1:Completed:No publish	html not right
ro5137382	NCT01507168:Phase 2:Completed:No publish	html not right
mitomycin + gemcitabine	NCT01511146:Phase 2:Unknown status:No publish	html not right
s-1 combined with leucovorin	NCT01533324:Phase 2:Unknown status:No publish	html not right
activated recombinant human factor vii	NCT01562821:Phase 2:Completed:Shao YF, Yang JM, Chau GY, Sirivatanauksorn Y, Zhong SX, Erhardtsen E, Nivatvongs S, Lee PH. Safety and hemostatic effect of recombinant activated factor VII in cirrhotic patients undergoing partial hepatectomy: a multicenter, randomized, double-blind, placebo-controlled trial. Am J Surg. 2006 Feb;191(2):245-9.	html not right
chemotherapy of mfolfox6 or folfiri	NCT01564810:Phase 4:Unknown status:No publish	html not right
gadoxetic acid	NCT01575574:Phase 4:Completed:No publish	html not right
nintedanib high dose	NCT01594125:Phase 1:Completed:No publish	html not right
nintedanib low dose	NCT01594125:Phase 1:Completed:No publish	html not right
nintedanib medium dose	NCT01594125:Phase 1:Completed:No publish	html not right
sorafenib combined with tace	NCT01605734:Phase 2:Unknown status:No publish	html not right
immu-132	NCT01631552:Phase 1|Phase 2:Active, not recruiting:No publish	html not right
bevacizumab, mfolfox, folfiri	NCT01632722:Phase 2:Completed:No publish	html not right
romidepsin	NCT01638533:Phase 1:Recruiting:No publish	html not right
xenetix-ct perfusion imaging	NCT01639703:Phase 4:Completed:No publish	html not right
nik-333(peretinoin)	NCT01640808:Phase 3:Unknown status:No publish	html not right
letrozole plus leuprolide	NCT01642186:Phase 2:Active, not recruiting:No publish	html not right
combination of everolimus, letrozole and leuprolide	NCT01642186:Phase 2:Active, not recruiting:No publish	html not right
tranexamic acid	NCT01655641:Phase 2|Phase 3:Unknown status:Mannucci PM, Levi M. Prevention and treatment of major blood loss. N Engl J Med. 2007 May 31;356(22):2301-11. Review.	html not right
best standard of care	NCT01655693:Phase 3:Active, not recruiting:No publish	html not right
arq 197	NCT01656265:Phase 1:Completed:No publish;;NCT00988741:Phase 2:Completed:No publish;;NCT00802555:Phase 1:Completed:No publish	html not right
ipilimumab	NCT01658878:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT03203304:Phase 1:Recruiting:No publish;;NCT03222076:Phase 2:Recruiting:No publish	No target
cabozantinib	NCT01658878:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT03299946:Phase 1:Recruiting:No publish;;NCT03539822:Phase 1:Not yet recruiting:No publish;;NCT03586973:Phase 2:Recruiting:No publish	html not right
sta-9090	NCT01665937:Phase 1:Completed:No publish	html not right
interferon-alpha (ifn-alpha)	NCT01681446:Phase 3:Recruiting:No publish	html not right
sorafenib:	NCT01687673:Phase 2:Active, not recruiting:No publish	html not right
5-fu based doublet chemotherapy	NCT01695772:Phase 4:Completed:No publish	html not right
huachansu	NCT01715532:Phase 2:Unknown status:No publish	html not right
phase i dose level -1	NCT01721941:Phase 1:Unknown status:No publish	html not right
phase i dose level 1	NCT01721941:Phase 1:Unknown status:No publish	html not right
phase i dose level 2	NCT01721941:Phase 1:Unknown status:No publish	html not right
phase i dose level 3	NCT01721941:Phase 1:Unknown status:No publish	html not right
mm-141	NCT01733004:Phase 1:Completed:No publish	html not right
tasquinimod	NCT01743469:Phase 2:Completed:No publish	No target
suranix	NCT01747642:Phase 2|Phase 3:Unknown status:No publish	html not right
sgi-110	NCT01752933:Phase 2:Completed:No publish	html not right
ascorbic acid + sorafenib	NCT01754987:Phase 1|Phase 2:Completed:No publish	html not right
tivantinib	NCT01755767:Phase 3:Completed:No publish	html not right
bevacizumab plus chemotherapy	NCT01763450:Phase 2:Unknown status:No publish	html not right
6,8-bis(benzylthio)octanoic acid	NCT01766219:Phase 1|Phase 2:Active, not recruiting:No publish	html not right
huaier granule	NCT01770431:Phase 4:Completed:No publish	html not right
regorafenib (bay73-4506)	NCT01774344:Phase 3:Active, not recruiting:Finn RS, Merle P, Granito A, Huang YH, Bodoky G, Pracht M, Yokosuka O, Rosmorduc O, Gerolami R, Caparello C, Cabrera R, Chang C, Sun W, LeBerre MA, Baumhauer A, Meinhardt G, Bruix J. Outcomes of sequential treatment with sorafenib followed by regorafenib for HCC: Additional analyses from the phase III RESORCE trial. J Hepatol. 2018 Aug;69(2):353-358. doi: 10.1016/j.jhep.2018.04.010. Epub 2018 Apr 26.	html not right
g-202	NCT01777594:Phase 2:Completed:No publish	html not right
chlorhexidine gluconate	NCT01782573:Phase 4:Completed:No publish	html not right
0.9% sodium chloride	NCT01782573:Phase 4:Completed:No publish	html not right
meglumine gadoterate	NCT01806740:Phase 4:Active, not recruiting:No publish	html not right
mct/lct and fish oil	NCT01819961:Phase 4:Unknown status:No publish	html not right
mct/lct	NCT01819961:Phase 4:Unknown status:No publish	html not right
interferon alfa、fluorouracil	NCT01834963:Phase 2:Recruiting:No publish	html not right
cisplatin、fluorouracil	NCT01834963:Phase 2:Recruiting:No publish	html not right
tivozanib	NCT01835223:Phase 1|Phase 2:Active, not recruiting:No publish	html not right
l-ohp	NCT01836653:Phase 2:Completed:No publish	html not right
l-lv	NCT01836653:Phase 2:Completed:No publish	html not right
azd9150	NCT01839604:Phase 1:Completed:No publish	html not right
hia debiri + systemic folfox	NCT01839877:Phase 2:Active, not recruiting:No publish	html not right
tremelimumab	NCT01853618:Phase 1:Active, not recruiting:No publish;;NCT02754856:Phase 1:Recruiting:No publish	html not right
recombinant human adenovirus type 5 injection	NCT01869088:Phase 3:Active, not recruiting:Vogl TJ, Trapp M, Schroeder H, Mack M, Schuster A, Schmitt J, Neuhaus P, Felix R. Transarterial chemoembolization for hepatocellular carcinoma: volumetric and morphologic CT criteria for assessment of prognosis and therapeutic success-results from a liver transplantation center. Radiology. 2000 Feb;214(2):349-57.	html not right
lipiodol	NCT01877187:Phase 2:Active, not recruiting:No publish;;NCT01959061:Phase 4:Recruiting:No publish;;NCT02638857:Phase 1|Phase 2:Unknown status:No publish;;NCT02755311:Phase 3:Unknown status:No publish;;NCT02631499:Phase 4:Not yet recruiting:No publish	html not right
lamivudine 100mg once daily; or entecavir 0.5mg once daily.	NCT01894269:Phase 4:Unknown status:No publish	html not right
onartuzumab	NCT01897038:Phase 1:Completed:No publish	html not right
immuncell-lc	NCT01897610:Phase 2:Completed:No publish	html not right
sorafenib + pravastatin	NCT01903694:Phase 3:Completed:No publish;;NCT01357486:Phase 2:Completed:No publish	html not right
cabozantinib tablets	NCT01908426:Phase 3:Active, not recruiting:No publish	html not right
placebo tablets	NCT01908426:Phase 3:Active, not recruiting:No publish	html not right
ixazomib	NCT01912222:Phase 1:Completed:No publish	html not right
refametinib (bay86-9766)	NCT01915589:Phase 2:Completed:No publish;;NCT01915602:Phase 2:Completed:No publish	html not right
sorafenib (bay43-9006)	NCT01915602:Phase 2:Completed:No publish	html not right
urea-based cream	NCT01934829:Phase 2:Completed:Bosch FX, Ribes J, Cléries R, Díaz M. Epidemiology of hepatocellular carcinoma. Clin Liver Dis. 2005 May;9(2):191-211, v. Review.	html not right
colchicine	NCT01935700:Phase 2:Recruiting:No publish	No target
aspirin	NCT01936233:Phase 3:Unknown status:No publish	html not right
lamivudine	NCT01936233:Phase 3:Unknown status:No publish;;NCT02650271:Phase 2|Phase 3:Recruiting:Ke Y, Ma L, You XM, Huang SX, Liang YR, Xiang BD, Li LQ, Zhong JH. Antiviral therapy for hepatitis B virus-related hepatocellular carcinoma after radical hepatectomy. Cancer Biol Med. 2013 Sep;10(3):158-64. doi: 10.7497/j.issn.2095-3941.2013.03.006.	html not right
neratinib	NCT01953926:Phase 2:Recruiting:No publish	html not right
fulvestrant	NCT01953926:Phase 2:Recruiting:No publish	No target
raltitrexed	NCT01959061:Phase 4:Recruiting:No publish;;NCT01348412:Phase 2:Completed:No publish	No target
oxaliplatin;capecitabine	NCT01962376:Phase 4:Unknown status:No publish	html not right
oxaliplatin;capecitabine;bevacizumab	NCT01962376:Phase 4:Unknown status:No publish	html not right
ethiodized oil + doxorubicin	NCT01966133:Phase 3:Active, not recruiting:No publish	html not right
aldesleukin	NCT01967823:Phase 2:Recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish	html not right
fludarabine	NCT01967823:Phase 2:Recruiting:No publish;;NCT03084380:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT01174121:Phase 2:Recruiting:No publish;;NCT02905188:Phase 1:Not yet recruiting:No publish	html not right
5-fu and oxaliplatin	NCT01972503:Phase 4:Unknown status:No publish	html not right
hcq	NCT02013778:Phase 1|Phase 2:Recruiting:No publish	html not right
bevacizumab [avastin]	NCT02013830:Phase 2:Completed:No publish	html not right
capecitabine [xeloda]	NCT02013830:Phase 2:Completed:No publish	html not right
lapatinib	NCT02015169:Phase 2:Completed:No publish	No target
tace containing as2o3	NCT02018757:Phase 2:Unknown status:No publish	html not right
tace containing placebo	NCT02018757:Phase 2:Unknown status:No publish	html not right
dalantercept plus sorafenib	NCT02024087:Phase 1|Phase 2:Completed:No publish	html not right
zavedos®	NCT02028949:Phase 1:Completed:No publish	html not right
arq197	NCT02029157:Phase 3:Completed:No publish	html not right
dexmedetomidine	NCT02044224:Phase 4:Completed:No publish;;NCT02016391:Phase 4:Completed:No publish	No target
folfoxiri + cetuximab	NCT02063529:Phase 2:Recruiting:No publish	html not right
folfoxiri	NCT02063529:Phase 2:Recruiting:No publish;;NCT02350530:Phase 2:Recruiting:No publish;;NCT03487939:Phase 2:Not yet recruiting:No publish	html not right
omp-54f28 with sorafenib	NCT02069145:Phase 1:Completed:No publish	html not right
18f- fluorocholine	NCT02074202:Phase 3:Unknown status:No publish	html not right
18f- fluorodeoxyglucose	NCT02074202:Phase 3:Unknown status:No publish	html not right
tacrolimus	NCT02081755:Phase 4:Recruiting:No publish	html not right
myfortic	NCT02081755:Phase 4:Recruiting:No publish	html not right
cellcept	NCT02081755:Phase 4:Recruiting:No publish	html not right
imuran	NCT02081755:Phase 4:Recruiting:No publish	html not right
ly2875358	NCT02082210:Phase 1|Phase 2:Completed:No publish	html not right
capecitabine, oxaliplatin, irinotecan and bevacizumab	NCT02086656:Phase 2:Active, not recruiting:No publish	html not right
n-acetylcysteine	NCT02094625:Phase 1:Recruiting:No publish	html not right
adi-peg 20	NCT02101593:Phase 1:Completed:No publish;;NCT02006030:Phase 2:Completed:No publish;;NCT02102022:Phase 1|Phase 2:Recruiting:No publish;;NCT02029690:Phase 1:Active, not recruiting:No publish;;NCT00056992:Phase 2:Completed:No publish	html not right
hai	NCT02102789:Phase 3:Recruiting:No publish	html not right
dummy infusion	NCT02112656:Phase 3:Recruiting:No publish	html not right
msc2156119j	NCT02115373:Phase 1|Phase 2:Completed:No publish;;NCT01988493:Phase 1|Phase 2:Active, not recruiting:No publish	html not right
s-1	NCT02129322:Phase 2:Not yet recruiting:No publish;;NCT01997957:Phase 4:Unknown status:No publish;;NCT02634502:Phase 2:Recruiting:No publish	html not right
metformin xr	NCT02145559:Phase 1:Active, not recruiting:No publish	html not right
delayed metformin	NCT02145559:Phase 1:Active, not recruiting:No publish	html not right
sirolimus	NCT02145559:Phase 1:Active, not recruiting:No publish;;NCT00328770:Phase 2|Phase 3:Completed:No publish;;NCT01522820:Phase 1:Completed:No publish;;NCT01374750:Phase 2:Completed:No publish;;NCT00355862:Phase 3:Completed:No publish;;NCT00554125:Phase 3:Unknown status:No publish	html not right
lde225	NCT02151864:Phase 1:Active, not recruiting:No publish	html not right
folfox/ folfiri with bevacizumab	NCT02162563:Phase 3:Recruiting:No publish	html not right
folfoxiri with bevacizumab	NCT02162563:Phase 3:Recruiting:No publish	html not right
folfox/ folfiri with panitumumab	NCT02162563:Phase 3:Recruiting:No publish	html not right
vitamin d3	NCT02172651:Early Phase 1:Recruiting:No publish;;NCT02779465:Phase 4:Not yet recruiting:Liaw YF, Sung JJ, Chow WC, Farrell G, Lee CZ, Yuen H, Tanwandee T, Tao QM, Shue K, Keene ON, Dixon JS, Gray DF, Sabbat J; Cirrhosis Asian Lamivudine Multicentre Study Group. Lamivudine for patients with chronic hepatitis B and advanced liver disease. N Engl J Med. 2004 Oct 7;351(15):1521-31.	html not right
tirapazamine	NCT02174549:Phase 1|Phase 2:Recruiting:No publish;;NCT03145558:Phase 2:Recruiting:No publish	html not right
sevoflurane	NCT02174575:Phase 4:Unknown status:No publish	html not right
desflurane	NCT02174575:Phase 4:Unknown status:No publish	html not right
mk-3475	NCT02178722:Phase 1|Phase 2:Active, not recruiting:No publish	html not right
incb024360	NCT02178722:Phase 1|Phase 2:Active, not recruiting:No publish	No target
lyso-thermosensitive liposomal (ltsl) doxorubicin	NCT02181075:Phase 1:Completed:No publish	html not right
tkm-080301	NCT02191878:Phase 1|Phase 2:Completed:No publish;;NCT01437007:Phase 1:Completed:No publish	html not right
ganciclovir	NCT02202564:Phase 2:Completed:No publish	No target
adv-tk	NCT02202564:Phase 2:Completed:No publish;;NCT03313596:Phase 3:Recruiting:No publish	html not right
peprostat	NCT02204930:Phase 1:Completed:No publish	html not right
oral pentamidine	NCT02210182:Phase 1:Completed:No publish	html not right
donafenib(200mg)	NCT02229071:Phase 1|Phase 2:Completed:No publish	html not right
donafenib(300mg)	NCT02229071:Phase 1|Phase 2:Completed:No publish	html not right
enmd-2076	NCT02234986:Phase 2:Active, not recruiting:No publish	No target
ly2157299	NCT02240433:Phase 1:Active, not recruiting:No publish;;NCT02178358:Phase 2:Active, not recruiting:No publish;;NCT01246986:Phase 2:Active, not recruiting:No publish	No target
oral chemotherapy	NCT02240771:Phase 2|Phase 3:Unknown status:No publish	html not right
cidan capsule	NCT02253511:Phase 4:Unknown status:No publish	html not right
stm 434	NCT02262455:Phase 1:Completed:No publish	html not right
liposomal doxorubicin	NCT02262455:Phase 1:Completed:No publish;;NCT00507962:Phase 1:Completed:No publish	html not right
bbi503	NCT02279719:Phase 1|Phase 2:Recruiting:No publish;;NCT02354898:Phase 1:Recruiting:No publish;;NCT02232633:Phase 2:Active, not recruiting:No publish	html not right
bbi608	NCT02279719:Phase 1|Phase 2:Recruiting:No publish;;NCT02358395:Phase 1:Completed:No publish	html not right
thymalfasin	NCT02281266:Phase 4:Not yet recruiting:No publish	html not right
nucleoside analog (suggest to use entecavir)	NCT02281266:Phase 4:Not yet recruiting:No publish	html not right
