NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT00987935	Completed	Has Results	Drug: Sorafenib|Drug: BIBF 1120	Maximum Tolerated Dose in Phase I|Time to Progression (TTP) in Phase II|Time to Progression (TTP) in Phase II (Follow-up Analyses)|Incidence and Intensity of Adverse Events (AEs) Reported as the Number of Patients With AEs According to Common Terminology Criteria for Adverse Events (CTCAE) Version 3.0 Throughout the Treatment Period.|Incidence of Dose Limiting Toxicity in Phase I|Objective Tumour Response by RECIST|Progression Free Survival (PFS)|Overall Survival|AUC0-12,ss,Norm (Area Under the Plasma Concentration-time Curve Between 0 and 12 Hours at Steady State, Normalised Values) of Nintedanib|AUC0-12,ss,Norm (Area Under the Plasma Concentration-time Curve Between 0 and 12 Hours at Steady State, Normalised Values) of BIBF 1202 (Metabolite of Nintedanib)|AUC0-12,ss,Norm (Area Under the Plasma Concentration-time Curve Between 0 and 12 Hours at Steady State, Normalised Values) of BIBF 1202 Glucuronide (Metabolite of Nintedanib)|Cmax,ss,Norm (Maximum Concentration of the Nintedanib in Plasma at Steady State, Normalised Values)|Cmax,ss,Norm (Maximum Concentration of the BIBF 1202 in Plasma at Steady State, Normalised Values)|Cmax,ss,Norm (Maximum Concentration of the BIBF 1202 Glucuronide in Plasma at Steady State, Normalised Values)|fe0-12,ss (Fraction Excreted in Urine Between 0 and 12 Hours at Steady State) for Nintedanib	Phase 2	https://ClinicalTrials.gov/show/NCT00987935
NCT00508001	Completed	Has Results	Drug: Vandetanib|Drug: Best Supportive Care	Tumour Stabilisation Rate|Objective Response Rate|Progression-free Survival|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT00508001
NCT00149565	Completed	No Results Available	Drug: IFN-α2b	134 patients for each of the two treatment arms are needed.	Phase 3	https://ClinicalTrials.gov/show/NCT00149565
NCT01559844	Completed	Has Results	Drug: Sofosbuvir|Drug: Ribavirin	Percentage of Participants With Posttransplant Virologic Response (pTVR) at Posttransplant Week 12|Percentage of Participants Experiencing Any Adverse Event Leading to Permanent Discontinuation of Sofosbuvir Prior to Receiving Transplant|Percentage of Participants With Graft Loss Following Transplant|Number of Participants Who Died|Percentage of Participants With Posttransplant Virologic Response (pTVR) Through Posttransplant Week 48|Percentage of Participants With HCV RNA < LLOQ (ie, 25 mL/IU) During Treatment Through Week 48|HCV RNA and Change From Baseline in HCV RNA Through Week 8|Proportion of Participants With Virologic Failure Prior to Transplant	Phase 2	https://ClinicalTrials.gov/show/NCT01559844
NCT00943449	Completed	No Results Available	Drug: 4SC-201|Drug: Sorafenib	Progression Free Survival Rate (PFSR) of repeated oral doses of 4SC-201 and of the treatment combination of Sorafenib plus 4SC-201|To establish the MTD of 4SC-201 in combination with Sorafenib|To investigate the safety and tolerability of repeated oral doses of 4SC-201 and of the treatment combination of ascending repeated oral doses of 4SC-201 and Sorafenib|To investigate biomarkers	Phase 2	https://ClinicalTrials.gov/show/NCT00943449
NCT00921531	Unknown status	No Results Available	Drug: Thalidomide|Drug: TACE	Overall survival|time to progression	Phase 3	https://ClinicalTrials.gov/show/NCT00921531
NCT00908752	Completed	No Results Available	Drug: Brivanib|Other: Brivanib Placebo|Procedure: TACE Therapy	To compare the Overall Survival (OS) of HCC patients who receive brivanib as adjuvant treatments to TACE therapy, with the OS of HCC patients who receive matched placebo with TACE therapy|To compare the Time-To-Disease Progression (TTDP) of patients receiving brivanib with TACE therapy to that of patients receiving placebo with TACE therapy|To compare the time to extrahepatic spread or vascular invasion in the brivanib and placebo arms|To determine the total number of TACE sessions in the brivanib and placebo arms and to compare the rate of TACE sessions in the brivanib and placebo arms|To evaluate the safety of brivanib in combination with TACE	Phase 3	https://ClinicalTrials.gov/show/NCT00908752
NCT00901901	Completed	Has Results	Drug: Sorafenib (Nexavar, BAY43-9006)|Drug: Erlotinib (Tarceva)|Drug: Placebo	Overall Survival|Time to Radiological Tumor Progression (TTP)|Disease Control|Health-related Quality of Life and Utility Values as Measured by EQ-5D - Index|Health-related Quality of Life and Utility Values as Measured by EQ-5D - VAS	Phase 3	https://ClinicalTrials.gov/show/NCT00901901
NCT00892658	Active, not recruiting	No Results Available	Drug: Sorafenib	Determine the MTD of sorafenib and RT in patients with hepatocellular carcinoma using an iso-toxicity radiation dose allocation scheme. Determine the acute toxicity (< 3 months) of sorafenib when combined with RT.|Determine late toxicities, in-field local control at 3 months, overall survival, progression time, and progression free survival. Quantify alteration in perfusion parameters.Assess serum and tissue biomarkers. Assess quality of life in these patients.	Phase 1	https://ClinicalTrials.gov/show/NCT00892658
NCT01265576	Unknown status	No Results Available	Drug: Sorafenib|Drug: VT-122 (propranolol plus etodolac)|Drug: Placebo	failure free survival|clinical benefit response	Phase 2	https://ClinicalTrials.gov/show/NCT01265576
NCT00858871	Completed	No Results Available	Drug: Brivanib|Drug: Placebo|Drug: Sorafenib	To compare the overall survival of brivanib versus sorafenib in subjects with advanced HCC who have not received prior systemic treatment|To compare the time to progression (TTP) (investigator assessed using modified RECIST criteria for HCC|To compare the investigator assessed objective response rate (ORR) and disease control rate (DCR) using modified RECIST criteria for HCC|To determine duration of response, duration of disease control, and time to response (TTR)|To assess the safety profile of brivanib and sorafenib|To explore PK and exposure-response in the study population|To compare time to symptomatic progression|To compare health-related quality of life	Phase 3	https://ClinicalTrials.gov/show/NCT00858871
NCT00855218	Completed	Has Results	Drug: Sorafenib (Nexavar, BAY43-9006)|Drug: Placebo	Time to Progression (TTP) - Independent Radiological Review (Primary Analysis)|Overall Survival (OS)|Time to Untreatable Progression (TTUP)|Time to Vascular Invasion/Extrahepatic Spread (TTVI/ES)|Tumor Response - Independent Radiological Review|Tumor Response - Investigator Assessment	Phase 2	https://ClinicalTrials.gov/show/NCT00855218
NCT01259193	Unknown status	No Results Available	Drug: Sorafenib and Zoledronic Acid	numbers of adverse events|Overall survival (OS), time to progression (TTP)	Phase 2	https://ClinicalTrials.gov/show/NCT01259193
NCT00844688	Unknown status	No Results Available	Drug: sorafenib|Drug: Gemcitabine	RECIST criteria for response evaluation by CT sacan abdomen in Target lesion of HCC|Toxicity evaluation in accordance with CTCAE v3.0	Phase 2	https://ClinicalTrials.gov/show/NCT00844688
NCT00829465	Completed	No Results Available	Drug: Licartin|Procedure: Transcatheter arterial chemoembolization	OS of 1 years; TTP	Phase 4	https://ClinicalTrials.gov/show/NCT00829465
NCT00823290	Unknown status	No Results Available	Drug: Sorafenib + LBH589	Maximum tolerated dose of LBH589|Safety, tolerability and adverse events (based on CTCAE 3.0)|Reduction of lesion size (radiologically assessed according to RECIST)|Laboratory abnormalities (CTC grade 3 or grade 4 toxicities)	Phase 1	https://ClinicalTrials.gov/show/NCT00823290
NCT00805896	Unknown status	No Results Available	Drug: Songyou|Drug: placebo	Time to tumor progression(TTP)|Overall survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT00805896
NCT00802555	Completed	No Results Available	Drug: ARQ 197	To evaluate the safety of ARQ 197 when administered in cirrhotic patients diagnosed with HCC|To evaluate time to disease progression (TTP), objective response rate (ORR), and disease control rate (DCR) in patients with HCC|To evaluate dynamic changes of hepatocyte growth factor (HGF), vascular endothelial growth factor (VEGF), and soluble c-Met in patients' peripheral blood that are associated with ARQ 197 treatment	Phase 1	https://ClinicalTrials.gov/show/NCT00802555
NCT00752063	Unknown status	No Results Available	Drug: Sorafenib with Capecitabine and Oxaliplatin	Progression-free survival|Tumor response rate, overall survival and safety of the regimen in HCC patients	Phase 2	https://ClinicalTrials.gov/show/NCT00752063
NCT00703365	Completed	No Results Available	Drug: Sorafenib and Gemcitabine	To evaluate the efficacy (progression free survival (PFS)) of sorafenib in patients with advanced/unresectable HCC.|To evaluate overall, survival, overall response rate (RECIST), time to progression (TTP), disease control rate (DCR) and side-effect profile of sorafenib in combination with gemcitabine in patients suffering from HCC.	Phase 2	https://ClinicalTrials.gov/show/NCT00703365
NCT01263002	Completed	No Results Available	Drug: clevudine, Adefovir	Proportion of patients with HBV DNA levels ＜ 60 IU/mL	Phase 4	https://ClinicalTrials.gov/show/NCT01263002
NCT00554125	Unknown status	No Results Available	Drug: sirolimus	Disease-free survival|overall survival	Phase 3	https://ClinicalTrials.gov/show/NCT00554125
NCT00635323	Completed	No Results Available	Drug: Irinotecan plus capecitabine	Overall response rate|Time to progression|Duration of overall response|Overall tumour growth control rate|Overall survival|Adverse events|Physical exam|Laboratory tests	Phase 2	https://ClinicalTrials.gov/show/NCT00635323
NCT00619541	Completed	No Results Available	Drug: Infusional 5-Fluorouracil|Drug: Sorafenib (Bay 43-9006)	N° of non progressive disease (complete and partial responses, stable disease)|Toxicity of the combination,ORR,Duration of responses, TTP and OS.PK, PD,Baseline pERK concentration, phospho VEGF-R2 concentration, plasma proteomics and gene expression profiling on blood cells and tumor biopsy	Phase 2	https://ClinicalTrials.gov/show/NCT00619541
NCT00559455	Completed	No Results Available	Drug: Oxaliplatin|Drug: Fluorouracil|Drug: Leucovorin	Tumor Response Rate evaluated using RECIST (Response Evaluation Criteria in Solid Tumors) by physical examination, chest X-ray, abdomen-pelvis CT (Computed tomography) scan|Time to Progression (TTP), 6 month survival, overall survival, AFP	Phase 2	https://ClinicalTrials.gov/show/NCT00559455
NCT00524498	Completed	No Results Available	Drug: OPC-18|Drug: cisplatin	Antitumor effect (tumor size reduction)|Disease control rate Overall survival Progression-free survival	Phase 2	https://ClinicalTrials.gov/show/NCT00524498
NCT00519688	Completed	No Results Available	Drug: Thalidomide|Drug: Tegafur/Uracil	To evaluate the overall response rate of UFUR and thalidomide in the treatment of advanced HCC by RECIST criteria|To determine the disease stabilization rate.|To assess the progression- free survival and overall survival.|To establish the safety profile.	Phase 2	https://ClinicalTrials.gov/show/NCT00519688
NCT00517920	Completed	No Results Available	Drug: ABT-869	Progression-Free Rate|Objective Response Rate	Phase 2	https://ClinicalTrials.gov/show/NCT00517920
NCT00492752	Completed	Has Results	Drug: Sorafenib (Nexavar, BAY43-9006)|Drug: Placebo	Overall Survival|Time to Symptomatic Progression (TTSP)|Time to Progression (TTP)|Disease Control|Change in Functional Assessment of Cancer Therapy (FACT) Hepatobiliary Symptom Index-8 (FHSI-8) Score From Baseline to Cycle 1 and Cycle 3|Change in Functional Assessment of Cancer Therapy-Hepatobiliary (FACT-Hep) Score From Baseline to Cycle 3 and End of Treatment|Number of Participants With Different Tumor Response|Duration of Response|Time to Response|Area Under the Curve From Time 0 to 12 Hours Post-dose (AUC 0-12) After 21 Days of Sorafenib Treatment|Normalized Area Under the Curve (AUC Norm) After 21 Days of Sorafenib Treatment|Maximum Concentration (Cmax) After 21 Days of Sorafenib Treatment|Normalized Maximum Concentration (Cmaxnorm) After 21 Days of Sorafenib Treatment|Time of Maximum Concentration (Tmax) After 21 Days of Sorafenib Treatment	Phase 3	https://ClinicalTrials.gov/show/NCT00492752
NCT00490685	Completed	No Results Available	Drug: Sorafenib (BAY-43-9006)		Phase 2	https://ClinicalTrials.gov/show/NCT00490685
NCT00484211	Completed	No Results Available	Drug: NGR-hTNF	Antitumour activity defined as progression free survival (PFS)|Tumor growth control rate (TGCR) according to WHO criteria|Pharmacokinetics in patients treated with weekly schedule|Safety|Overall survival (OS)|Experimental imaging study (DCE-MRI)	Phase 2	https://ClinicalTrials.gov/show/NCT00484211
NCT00478374	Completed	No Results Available	Drug: Sorafenib|Procedure: Transarterial chemoembolisation with doxorubicin	To assess the safety and tolerability of the administration of sorafenib in patients with hepatocellular carcinoma treated with TACE by determining the MTD.|tumor volumetry|changes in the blood concentration of tumor marker AFP	Phase 1	https://ClinicalTrials.gov/show/NCT00478374
NCT00834860	Unknown status	No Results Available	Drug: peginterferon alpha-2a and ribavirin	Efficacy: sustained virological response (SVR), HCV RNA seronegative by PCR throughout 24-week off-treatment period.|Rapid virologic response (RVR), HCV RNA seronegative by PCR at week 4.|Early virological response (EVR), by PCR-negative or at least 2 logs decline from baseline of serum HCV RNA at 12 weeks of treatment.|Safety: adverse event rate and profile.	Phase 4	https://ClinicalTrials.gov/show/NCT00834860
NCT00471965	Completed	No Results Available	Drug: Oxaliplatin + 5-Fluorouracil/Leucovorin|Drug: Doxorubicin	Overall survival|Time to progression|Response rate, secondary resection rate, quality of life	Phase 3	https://ClinicalTrials.gov/show/NCT00471965
NCT00464919	Completed	No Results Available	Drug: Sorafenib|Drug: tegafur/uracil (UFUR®)	To determine the progression- free survival of sorafenib plus tegafur/uracil (UFUR®) for the treatment of advanced or metastatic HCC.|The 6-month progression-free survival rate.|The objective tumor response rate.|The disease stabilization rate (complete response + partial response + stable disease for at least 2 months).|The overall survival.|The safety profile.|To evaluate the changes of circulating biomarkers indicating the angiogenesis activity and their correlation with objective tumor response.	Phase 2	https://ClinicalTrials.gov/show/NCT00464919
NCT00464295	Completed	No Results Available	Drug: Capecitabine in HCC	To evaluate response rate and overall survival after completing minimum of three cycles of Capecitabine in Advance HCC|To evaluate the time to progression, toxicity and quality of life for patients on chemotherapy	Phase 2	https://ClinicalTrials.gov/show/NCT00464295
NCT00460681	Unknown status	No Results Available	Drug: Thymopentin	disease-free survival|overall survival	Phase 3	https://ClinicalTrials.gov/show/NCT00460681
NCT00423306	Unknown status	No Results Available	Drug: Darinaparsin	Response Rate|Survival (overall and progression free)|toxicities	Phase 2	https://ClinicalTrials.gov/show/NCT00423306
NCT00960518	Unknown status	No Results Available	Drug: adefovir|Procedure: TACE	the progression free survival (PFS)|the rate of overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT00960518
NCT00386984	Completed	No Results Available	Drug: Somatostatin (octreotide)	Overall survival time|Costs of the treatment measured by days of in-patient treatment|Side effects|Patient compliance|Quality of life|Somatostatin receptors in the tumor tissue|Prognostic relevance of the Somatostatin receptors	Phase 3	https://ClinicalTrials.gov/show/NCT00386984
NCT00384800	Unknown status	No Results Available	Drug: Thalidomide(THADO), Tegafur/Uracil(UFUR)	Primary Objective|To assess the overall response rate of tegafur/uracil (UFUR®) and thalidomide in the treatment of advanced or metastatic hepatocellular carcinoma.|Secondary Objectives|To determine the disease stabilization rate (CR+PR+SD).|To assess the progression-free survival and overall survival.|To establish the safety profile.|To evaluate the changes of circulating factors indicating the angiogenesis activity and their correlation with objective tumor response.	Phase 2	https://ClinicalTrials.gov/show/NCT00384800
NCT00287222	Completed	Has Results	Drug: Bevacizumab|Drug: Erlotinib	Number of Participants Who Remained Free of Progression at the 27th Week.	Phase 2	https://ClinicalTrials.gov/show/NCT00287222
NCT00768157	Unknown status	No Results Available	Drug: antiviral treatment (lamivudine or entecavir)|Procedure: radical resection of HBV-related HCC	Overall survivals|Recurrence rate	Phase 4	https://ClinicalTrials.gov/show/NCT00768157
NCT00280618	Completed	No Results Available	Drug: Oxaliplatin	Time to Tumor Progression (TTP) and Response Rate: evaluated by RECIST|Adverse Events collections and evaluation	Phase 2	https://ClinicalTrials.gov/show/NCT00280618
NCT00241020	Completed	No Results Available	Drug: Octreotide	Overall Survival|Objective response|Survival without progression|Digestive bleeding|Renal insufficiency|Quality of life|· Safety	Phase 3	https://ClinicalTrials.gov/show/NCT00241020
NCT00162669	Unknown status	No Results Available	Drug: bevacizumab	The main response parameter will be the disease control rate, defined by the objective response and stable disease rate (Response Evaluation Criteria in Solid Tumors [RECIST criteria]) after two consecutive tumor evaluations during treatment.|Overall survival, progression-free survival, toxicity (National Cancer Institute-Common Toxicity Criteria Version 3 [NCI-CTC V3])|Evaluation of vascular changes will be performed using Doppler ultrasound with injection of sonographic contrast agent	Phase 2	https://ClinicalTrials.gov/show/NCT00162669
NCT00142467	Completed	No Results Available	Drug: Gemcitabine|Drug: Oxaliplatin|Drug: Bevacizumab	Time to disease progression of gemcitabine, oxaliplatin and bevacizumab regimen in patients with hepatocellular carcinoma.|Number of participants with adverse events|Objective response rate|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT00142467
NCT00142428	Completed	No Results Available	Drug: Cetuximab	Progression free survival in patients treated with cetuximab for unresectable or metastatic hepatocellular carcinoma|Number of patients with adverse events|Overall Survival|Objective Response Rate	Phase 2	https://ClinicalTrials.gov/show/NCT00142428
NCT00082082	Completed	No Results Available	Drug: Thymalfasin (thymosin alpha-1)|Procedure: Trans arterial chemoembolization (TACE)		Phase 2	https://ClinicalTrials.gov/show/NCT00082082
NCT00375661	Completed	No Results Available	Drug: interferon-alfa-2b and ribavirin	Incidence of adverse effect of interferon	Phase 4	https://ClinicalTrials.gov/show/NCT00375661
NCT00056992	Completed	No Results Available	Drug: ADI-PEG 20		Phase 2	https://ClinicalTrials.gov/show/NCT00056992
NCT00116454	Completed	No Results Available	Drug: 131 I-lipiodol	to determine if the Lipiocis treatment decreases the % of tumoral recurrence after 24 months, judged on the rise of alpha-fetoprotein and the reappearance of one or more tumours on the hepatic CT scan|overall survival|recurrence-free survival|treatment toxicity|Deterioration of the hepatocellular function	Phase 3	https://ClinicalTrials.gov/show/NCT00116454
NCT00043433	Unknown status	No Results Available	Drug: intravenous T900607-sodium		Phase 2	https://ClinicalTrials.gov/show/NCT00043433
NCT00006332	Completed	No Results Available	Drug: Tetrathiomolybdate		Phase 2	https://ClinicalTrials.gov/show/NCT00006332
NCT00003597	Completed	No Results Available	Biological: recombinant human thrombopoietin|Drug: carboplatin|Drug: etoposide|Drug: ifosfamide|Biological: G-CSF	Determine the pharmacokinetics and toxicities associated with the administration of recombinant human thrombopoietin (rhTPO)|Evaluate the time for patients to demonstrate platelet recovery	Phase 1	https://ClinicalTrials.gov/show/NCT00003597
NCT00637637	Unknown status	No Results Available	Drug: indinavir sulfate|Drug: ritonavir|Radiation: radiation therapy	Time to treatment failure in the brain (TTF) as determined by the radiological response rate|Overall survival (OS)|Radiological volumetric response to treatment|Local intracranial disease progression at 4 months|Progression-free survival at 6 months|Improvement of symptoms|Time to symptom relapse or symptom progression|Duration of use of steroids|Duration of use of anticonvulsive drugs	Phase 2	https://ClinicalTrials.gov/show/NCT00637637
NCT00073944	Completed	No Results Available	Drug: forodesine hydrochloride		Phase 1	https://ClinicalTrials.gov/show/NCT00073944
NCT02301104	Completed	No Results Available	Drug: TAS-102	PK parameters of FTD, FTY, and TPI in plasma after a single dose of TAS-102|Safety monitoring including adverse events, vital signs, and laboratory assessments	Phase 1	https://ClinicalTrials.gov/show/NCT02301104
NCT02162563	Recruiting	No Results Available	Drug: FOLFOX/ FOLFIRI with bevacizumab|Drug: FOLFOXIRI with bevacizumab|Drug: FOLFOX/ FOLFIRI with panitumumab	Progression-free survival (PFS)|R0/1 secondary resection rate|Median overall survival|Response rate|Toxicity (AE)|Pathological complete response rate (pCR)|Postoperative morbidity|Correlation of evaluation by the panel with outcome	Phase 3	https://ClinicalTrials.gov/show/NCT02162563
NCT00941655	Completed	Has Results	Drug: Oxaliplatin|Drug: Irinotecan|Drug: 5-Fluorouracil|Drug: Leucovorin|Procedure: Gastrectomy and/or metastasectomy	Overall Survival in Patients With Limited Metastatic Gastric Carcinoma: Arm I|Overall Survival in Patients With Limited Metastatic Gastric Carcinoma: Arm II|Count of Participants With Adverse Events|12 Months Disease Free Survival (DFS)|Gillys Stage Before and After Surgery|Completeness of Cytoreduction (CCR) Score|Median Blood Loss During Surgery|Median Hospital Stay After Initial Surgery|Median Duration of Cytoreduction Surgery and Heated Intraperitoneal Chemotherapy (HIPEC)|Quality of Life (QOL) Parameters Between the Two Study Groups|Patterns of Disease Recurrence Between the Two Therapeutic Approaches and Their Clinical Implications	Phase 3	https://ClinicalTrials.gov/show/NCT00941655
NCT03296839	Not yet recruiting	No Results Available	Radiation: SBRT|Drug: Chemotherapy	progression-free survival (PFS) at 2 years|local control rates|liver PFS|overall survival|cancer-specific survival|Incidence of SBRT toxicities|Quality of life|salvage hepatic therapy|ceramide and its sphingolipid metabolites	Phase 3	https://ClinicalTrials.gov/show/NCT03296839
NCT01453283	Completed	No Results Available	Drug: Trabectedin (ecteinascidin-743, ET-743, YONDELIS [R])		Phase 1	https://ClinicalTrials.gov/show/NCT01453283
NCT01167049	Unknown status	No Results Available	Drug: CAPECITABINE	Tumor response will be evaluated using RECIST criteria. Survival data will be analyzed by Kaplan Meier method. 95% CI will be provided	Phase 2	https://ClinicalTrials.gov/show/NCT01167049
NCT02693067	Recruiting	No Results Available	Drug: Rose bengal disodium	Number of Participants with Adverse Events|Objective Response Rate (ORR)|Target Lesion Somatostatin Receptor (SSTR) Expression|Change in Neuroendocrine Tumor Biomarkers|Reduction in Major Symptoms|Reduction in Other Symptoms|Change in Peripheral Blood Mononuclear Cells (PBMC)	Phase 1	https://ClinicalTrials.gov/show/NCT02693067
NCT01836653	Completed	No Results Available	Drug: Bevacizumab|Drug: Cetuximab|Drug: L-OHP|Drug: l-LV|Drug: 5-FU	Progression-free survival|Response rate	Phase 2	https://ClinicalTrials.gov/show/NCT01836653
NCT01632722	Completed	No Results Available	Drug: Bevacizumab, mFOLFOX, FOLFIRI	2 years recurrence-free survival (2Y-RFS)	Phase 2	https://ClinicalTrials.gov/show/NCT01632722
NCT03519074	Recruiting	No Results Available	Drug: TS-1 combined with cisplatin	Efficacy evaluations: Disease status|Efficacy Evaluation: Timing	Phase 2	https://ClinicalTrials.gov/show/NCT03519074
NCT03398291	Not yet recruiting	No Results Available	Procedure: Synchronous resection of primary pancreatic cancer and liver oligometastasis|Drug: Standard chemotherapy	Real overall survival|Overall survival|Quality of life|Postoperative morbidity|Postoperative mortality	Phase 3	https://ClinicalTrials.gov/show/NCT03398291
NCT03223779	Recruiting	No Results Available	Drug: TAS-102|Radiation: Photon SBRT	Maximum Tolerated Dose (MTD)|The Duration of Local Control|Toxicity associated with TAS-102 combined with SBRT|Progression Free Survival|Overall Survival|Association between KRAS or BRAF mutation status with local control|Serial ctDNA	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT03223779
NCT00874406	Unknown status	No Results Available	Drug: tac + folfox4|Drug: folfox4	progression free survival|overall survival	Phase 4	https://ClinicalTrials.gov/show/NCT00874406
NCT02912052	Not yet recruiting	No Results Available	Drug: Peri-operative chemotherapy|Drug: postoperative chemotherapy	Disease free survival，DFS|Overall survival	Phase 3	https://ClinicalTrials.gov/show/NCT02912052
NCT00540982	Completed	No Results Available	Drug: indocyanine green|Drug: lidocaine|Drug: vinorelbine ditartrate|Other: high performance liquid chromatography|Other: intracellular fluorescence polarization analysis|Other: liquid chromatography|Other: mass spectrometry|Other: pharmacological study	Correlation of indocyanine green and lidocaine metabolism with vinorelbine ditartrate pharmacokinetics|Pharmacokinetics of vinorelbine ditartrate as measured by high performance liquid chromatography (15) or by liquid chromatography/tandem mass spectrometry assay|Test of dose adjustment of vinorelbine ditartrate	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00540982
NCT00408551	Unknown status	No Results Available	Drug: floxuridine|Drug: fluorouracil|Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Drug: oxaliplatin	Tumor response as measured by carcinoembryonic antigen (CEA) level, RECIST criteria, and positron emission tomography (PET) scan|Hepatic toxicity|Therapeutic efficacy based on time from selective internal radiation therapy (SIRT) to in-liver disease progression|Therapeutic efficacy based on the proportion of patients who achieve down-staging among all chemo-SIRT treated patients	Phase 2	https://ClinicalTrials.gov/show/NCT00408551
NCT00004142	Completed	No Results Available	Drug: Floxuridine|Drug: Fluorouracil (5-FU)|Procedure: Conventional surgery|Procedure: Radiofrequency ablation	Patient Tumor Response Rate	Phase 2	https://ClinicalTrials.gov/show/NCT00004142
NCT00438737	Unknown status	No Results Available	Biological: bevacizumab|Biological: cetuximab|Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin|Procedure: adjuvant therapy|Procedure: conventional surgery|Procedure: neoadjuvant therapy	Response rate (preoperative response rate)|Safety (rate of perioperative safety findings)|Progression-free survival|Pathological resection rate|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT00438737
NCT01912222	Completed	Has Results	Drug: IXAZOMIB	Unbound AUC(0-last): Unbound Area Under the Plasma Concentration-Time Curve From Time 0 to the Time of the Last Quantifiable Concentration for Ixazomib|Unbound Cmax: Unbound Maximum Observed Plasma Concentration for Ixazomib|Tmax- Time to Reach the Maximum Plasma Concentration (Cmax) for Ixazomib|Number of Participants Reporting One or More Treatment-emergent Adverse Events (TEAE) and Serious Adverse Events (SAE)|Number of Participants Reporting Clinically Significant Change From Baseline in Laboratory Values|Number of Participants Reporting Clinically Significant Change From Baseline in Vital Signs	Phase 1	https://ClinicalTrials.gov/show/NCT01912222
NCT01070355	Completed	No Results Available	Drug: Eicosapentaenoic acid free fatty acid|Drug: Placebo	Histological Ki67 cancer cell proliferation index|Histological neo-CK18 cancer cell apoptosis index|Histological tumour CD31-positive cell microvessel density|Safety and tolerability of EPA treatment|Metastatic tissue and healthy liver tissue fatty acid composition and prostaglandin levels|Plasma markers of prostaglandin metabolism|Platelet aggregation|Urinary markers of prostaglandin metabolism	Phase 2	https://ClinicalTrials.gov/show/NCT01070355
NCT02063529	Recruiting	No Results Available	Drug: FOLFOXIRI + Cetuximab|Drug: FOLFOXIRI	the percentage of patients who had a curative liver treatment following protocol treatment, i.e., liver metastases that can be completely resected and/or ablated with no evidence of residual malignant disease.|Reported adverse events.|Response rate|Progression free survival|Time to recurrence|Quality of life (QLQ C30)	Phase 2	https://ClinicalTrials.gov/show/NCT02063529
NCT00508326	Completed	No Results Available	Drug: Paclitaxel	Maximum Tolerated Dose of Monthly Cytotoxic Intraarterial Hepatic Paclitaxel	Phase 1	https://ClinicalTrials.gov/show/NCT00508326
NCT01226719	Completed	Has Results	Drug: Panitumumab|Drug: Oxaliplatin|Drug: Irinotecan|Drug: Leucovorin|Drug: 5-Fluorouracil	Overall Response Rate (ORR)|R0 Resection Rate|Progression-free Survival (PFS)|To Determine the Acute Toxicity Produced by This Regimen.|Overall Survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT01226719
NCT00742911	Completed	No Results Available	Drug: Disulfiram|Drug: Copper Gluconate	Determine the safety and toxicity profile of co-administration of disulfiram and copper gluconate for the treatment of refractory malignancies that have metastasized to the liver|Determine if disulfiram and copper gluconate induce measurable responses for the treatment of hepatic metastases from solid tumors|Qualitative assessment of the induction of S-glutathionylation in proteins of circulating leukocytes in patients treated with disulfiram and copper gluconate	Phase 1	https://ClinicalTrials.gov/show/NCT00742911
NCT01839877	Active, not recruiting	No Results Available	Drug: HIA DEBIRI + systemic FOLFOX	Progression-free survival rate at 9 months|safety of the study treatment|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT01839877
NCT00803647	Completed	Has Results	Biological: cetuximab|Drug: 5-FU|Drug: oxaliplatin|Drug: leucovorin	The Percentage of Patients Who Had a Curative (R0) Liver Metastasectomy Following Protocol Treatment, i.e., Metastatic Disease That Can be Completely Resected and/or Ablated With no Postoperative Evidence of Residual Malignant Disease (R0 Resection).|Reported Adverse Events.|Overall Survival (OS). Time From Study Entry Until Death From Any Cause.|Objective Clinical Response Rate (cRR). Measureable Lesions That Can be Accurately Measured in at Least One Dimension With Conventional Radiologic Techniques or Spiral CT.|Recurrence-free Survival (RFS). Time From Study Entry Until First Recurrence.	Phase 2	https://ClinicalTrials.gov/show/NCT00803647
NCT00005077	Completed	No Results Available	Drug: oxaliplatin		Phase 1	https://ClinicalTrials.gov/show/NCT00005077
NCT00507962	Completed	No Results Available	Drug: Cisplatin|Drug: Liposomal Doxorubicin	Maximum tolerated dose (MTD)	Phase 1	https://ClinicalTrials.gov/show/NCT00507962
NCT00885885	Completed	No Results Available	Drug: Panitumumab+FOLFOX-4|Drug: Panitumumab+FOLFIRI	Objective response rate|% of patients whose disease becomes resectable|Time to resection|Duration of response|Progression-free survival|Time to treatment failure|Time to disease relapse following surgery.|Adverse Events|Evaluation of molecular predictive markers for response.	Phase 2	https://ClinicalTrials.gov/show/NCT00885885
